Name	Label	Definitional reference	Definition
temperature_resolved_pyrolysis_field_ionisation_mass_spectrometry	temperature-resolved pyrolysis field ionisation mass spectrometry	CHMO:0000496	Mass spectrometry where the sample is pyrolysed then ionised by interaction with a high electric field. The ions are analysed using their mass-to-charge ratios as a function of temperature during pyrolysis.
chirped_pulse	chirped pulse	CHMO:0001871	An adiabatic shaped pulse. The resonance frequency is swept through a defined rf range during application of the pulse. Allows excitation of a broader range of frequencies than the size of the rf field. For the pulse see J. Magn. Reson. Ser. A 1993 102 pg 293.
cloud_point_extraction	cloud-point extraction	CHMO:0001601	The process of transferring a non-ionic surfactant from one liquid phase to another by heating. As the temperature of the solution rises the surfactant molecules form micelles if the temperature increases above the cloud point CPT the micelles become dehydrated and aggregate. This leads to macroscopic phase separation of the solution into a surfactant-rich phase and a solvent phase.
resonant_auger_electron_spectroscopy	resonant Auger electron spectroscopy	CHMO:0000341	Spectroscopy where bombardment of a sample with high-energy photons results in the ionisation of core electrons and the emission of so-called 'Auger' electrons. The wavelength of the incident photons is scanned over an absorption edge in the sample and the Auger electrons emitted are detected as a function of energy.
inductively_coupled_plasma_mass_spectrometry	inductively coupled plasma mass spectrometry	CHMO:0000538	Plasma mass spectrometry where the plasma has been generated by electromagnetic induction.
		CHMO:0002621	
multiple_ion_monitoring	multiple-ion monitoring	CHMO:0000573	Mass spectrometry where the intensities of multiple specific ion beams are recorded rather than the entire mass spectrum.
osteryoung_square_wave_voltammetry	Osteryoung square-wave voltammetry	CHMO:0000921	An electrochemical technique where the cell current is measured as a function of time and as a function of the potential between the indicator and reference electrodes. The potential is varied as a square wave and there is one square wave cycle per staircase step.
supercritical_antisolvent_technique	supercritical antisolvent technique	CHMO:0001905	A solid sample is dissolved in a common organic or inorganic solvent then injected into a supercritical fluid held under pressure resulting in a large decrease in solution density. This effect leads to the reduction in solubility of the solid and precipitation.
forward_geometry_double_focusing_mass_spectrometer	forward-geometry double-focusing mass spectrometer	CHMO:0001056	A double-focusing mass spectrometer where the electric sector precedes the magnetic sector.
nanoparticle	nanoparticle	CHEBI:50803	A nanosized spherical or capsule-shaped structure.
small_angle_light_scattering	small-angle light scattering	CHMO:0000179	A method for determining structure by measuring the change in direction or energy of visible light scattered at a small angle 0.110 to the incident light.
carrier_extraction_by_linearly_increasing_voltage_method	carrier extraction by linearly increasing voltage method	CHMO:0001243	A method for measuring charge carrier mobilities and conductivities by applying two sequentional triangular-shaped voltage pulses and measuring the resulting current.
impedance_spectroscopy	impedance spectroscopy	CHMO:0000421	Spectroscopy where the change in impedance the resistance of alternating current of a sample during excitation is measured as a function of frequency.
particle_induced_x_ray_emission_spectroscopy	particle-induced X-ray emission spectroscopy	CHMO:0000311	X-ray emission spectroscopy where the X-rays are generated by bombarding the sample with a focused beam of high-energy particles.
sound_induced_gelation	sound-induced gelation	CHMO:0001650	The formation of a gel from a solution by the application of ultrasound sound waves >20 kHz frequency.
dual_inlet_isotope_ratio_mass_spectrometry	dual-inlet isotope ratio mass spectrometry	CHMO:0000886	Mass spectrometry where purified gas obtained from a sample is alternated rapidly with a standard gas of known isotopic composition by means of a system of valves so that a number of comparative measurements are made of both gases. The relative abundance of isotopes in a sample is then determined.
