Name	Label	Entity	Value type	Related entity	Definitional reference	Definition
proper_part_of_continuant_at_some_time	proper part of continuant at some time				BFO:0000175	
is_about	is about				IAO:0000136	A currently primitive relation that relates an information artifact to an entity."en
has_characteristic	has characteristic				RO:0000053	a relation between an independent continuant the bearer and a specifically dependent continuant the dependent in which the dependent specifically depends on the bearer for its existence"en
is_specified_input_of	is_specified_input_of				OBI:0000295	A relation between a planned process and a continuant participating in that process that is not created during  the process. The presence of the continuant during the process is explicitly specified in the plan specification which the process realizes the concretization of."en
characteristic_of_part_of	characteristic of part of				RO:0002314	q characteristic of part of w if and only if there exists some p such that q inheres in p and p part of w.
causal_relation_between_processes	causal relation between processes				RO:0002501	p is causally related to q if and only if p or any part of p and q or any part of q are linked by a chain of events where each event pair is one where the execution of p influences the execution of q. p may be upstream downstream part of or a container of q.
has_continuant_part_at_all_times	has continuant part at all times				BFO:0000110	
role_of	role of				RO:0000081	a relation between a role and an independent continuant the bearer in which the role specifically depends on the bearer for its existence"en
realized_in_response_to	realized in response to				RO:0009501	r 'realized in response to' s iff r is a realizable e.g. a plant trait such as responsivity to drought s is an environmental stimulus a process and s directly causes the realization of r.
realizes	realizes				BFO:0000055	
causally_upstream_of_or_within	causally upstream of or within				RO:0002418	p is 'causally upstream or within' q iff p is causally related to q and the end of p precedes or is coincident with the end of q.
prevents	prevents				CHMO:0010016	
participates_in_at_some_time	participates in at some time				BFO:0000056	
realized_in	realized in				BFO:0000054	
has_continuant_part_at_some_time	has continuant part at some time				BFO:0000178	
inheres_in	inheres in				RO:0000052	a relation between a specifically dependent continuant the characteristic and any other entity the bearer in which the characteristic depends on the bearer for its existence."en
concretizes	concretizes				RO:0000059	A relationship between a specifically dependent continuant and a generically dependent continuant in which the generically dependent continuant depends on some independent continuant in virtue of the fact that the specifically dependent continuant also depends on that same independent continuant. Multiple specifically dependent continuants can concretize the same generically dependent continuant."en
achieves_planned_objective	achieves_planned_objective				OBI:0000417	This relation obtains between a planned process and a objective specification when the criteria specified in the objective specification are met at the end of the planned process."en
inheres_in	inheres_in				BFO:0000052	
causally_upstream_of	causally upstream of				RO:0002411	p is causally upstream of q iff p is causally related to q the end of p precedes the end of q and p is not an occurrent part of q.
has_part	has part				BFO:0000051	a core relation that holds between a whole and its part"en
objective_achieved_by	objective_achieved_by				OBI:0000833	This relation obtains between an objective specification and a planned process when the criteria specified in the objective specification are met at the end of the planned process."en
has_role	has role				BFO:0000087	
